,factor,sigma,std
2203,1.4522222222222223,0.02181818181818182,0.02208179817870376
2204,1.4522222222222223,0.025757575757575757,0.02628616658309449
2205,1.4522222222222223,0.0296969696969697,0.029495557215883195
2206,1.4522222222222223,0.03363636363636364,0.03459593866589644
2207,1.4522222222222223,0.037575757575757575,0.03822149019574402
2208,1.4522222222222223,0.04151515151515152,0.04203680090617031
2209,1.4522222222222223,0.045454545454545456,0.046023833038328035
2210,1.4522222222222223,0.0493939393939394,0.05106118484986642
2211,1.4522222222222223,0.05333333333333334,0.05502530660379801
2212,1.4522222222222223,0.057272727272727274,0.05819484992307289
2213,1.4522222222222223,0.06121212121212122,0.0626717463176713
2214,1.4522222222222223,0.06515151515151515,0.06825464317680242
2215,1.4522222222222223,0.06909090909090909,0.07200092626424641
2216,1.4522222222222223,0.07303030303030303,0.07637530487558289
2217,1.4522222222222223,0.07696969696969697,0.08070070741192584
2218,1.4522222222222223,0.0809090909090909,0.0849260333904071
2219,1.4522222222222223,0.08484848484848485,0.08938372249804896
2220,1.4522222222222223,0.08878787878787879,0.09425334910017719
2221,1.4522222222222223,0.09272727272727273,0.09809442550657012
2222,1.4522222222222223,0.09666666666666666,0.10316486230508855
2223,1.4522222222222223,0.1006060606060606,0.10645374149561929
2224,1.4522222222222223,0.10454545454545454,0.11380719626604979
2225,1.4522222222222223,0.10848484848484849,0.11856208036722811
2226,1.4522222222222223,0.11242424242424243,0.1229553083193889
2227,1.4522222222222223,0.11636363636363636,0.12985558944405914
2228,1.4522222222222223,0.1203030303030303,0.13447189469176782
2229,1.4522222222222223,0.12424242424242424,0.1354545327284483
2230,1.4522222222222223,0.1281818181818182,0.14068381411526495
2231,1.4522222222222223,0.13212121212121214,0.14932061400772542
2232,1.4522222222222223,0.13606060606060608,0.15344519779104454
2233,1.4522222222222223,0.14,0.15858432556010552
2234,1.4522222222222223,0.14393939393939395,0.16602965861696697
2235,1.4522222222222223,0.1478787878787879,0.1754246243624851
2236,1.4522222222222223,0.15181818181818182,0.17384190562780724
2237,1.4522222222222223,0.15575757575757576,0.18511115671306957
2238,1.4522222222222223,0.15969696969696973,0.18503699577460372
2239,1.4522222222222223,0.16363636363636366,0.1976878544839554
2240,1.4522222222222223,0.1675757575757576,0.19911441053032405
